STATEs/UTs,year,yearFormatted,Annual growth rate of GDP (constant prices) per capita (%),Average unemployment rate per 1000 persons for males and females,Percentage of households with a bank account,"Automated Teller Machines (ATMs) per 1,00,000 population",Annual growth rate of Net Domestic Product (NDP) per capita,Ease of doing business score (EODB),Unemployment rate (%) (15-59 years),Labour Force Participation Rate (LFPR) (%) (15-59 years),"Number of functioning branches of commercial banks per 1,00,000 population",Proportion of women account holders under PMJDY,Percentage of regular wage/ salaried employees in non-agriculture sector without any social security benefit,Percentage of households covered with a bank account under PMJDY against target,Percentage of women account holders in PMJDY,Percentage of households with any usual member with a bank or post office account,Percentage of women account holders in Pradhan Mantri Jan Dhan Yojana (PMJDY)
Andaman and Nicobar Islands,2019,2019,,,100.0,,10.63228122460038,1.25,15.8,57.9,12.58503401360544,0.4887589214908802,,,,,
Andaman and Nicobar Islands,2018,2018,7.06,189.5,100.0,25.03,,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,,,,31.93,,,10.3,71.2,18.11,,39.2,,,,49.26
Andaman and Nicobar Islands,2020-21,2021,,,,29.82456140350877,,4.64,13.8,,18.79699248120301,,59.3,100.0,47.94,,
Andhra Pradesh,2020-21,2021,3.838029789460479,,,21.0080039544478,,52.4,5.7,,14.39761212190346,,62.5,100.0,59.31,,
Andhra Pradesh,2023-24,2024,4.05,,,22.58,,,4.4,67.3,14.98,,57.3,,,95.8,57.35
Andhra Pradesh,2019,2019,,,100.0,,10.07148301505882,98.3,4.5,59.9,13.64256983652533,0.5743655020425936,,,,,
Andhra Pradesh,2018,2018,10.35,39.5,100.0,22.37,,,,,,,,,,,
Arunachal Pradesh,2019,2019,,,100.0,,5.084805653710248,0.0,5.8,45.0,12.62924667651403,0.5530458009603256,,,,,
Arunachal Pradesh,2018,2018,13.29,94.0,100.0,14.58,,,,,,,,,,,
Arunachal Pradesh,2020-21,2021,2.51618076524033,,,16.36005256241787,,0.0,7.7,,11.82654402102497,,17.3,100.0,55.05,,
Arunachal Pradesh,2023-24,2024,5.24,,,19.86,,,5.1,70.0,12.4,,15.5,,,91.6,54.5
Assam,2020-21,2021,5.2553251317486,,,11.6000344896962,,5.93,7.1,,8.892593337740351,,44.8,99.96,59.26,,
Assam,2023-24,2024,6.26,,,13.84,,,1.7,56.8,8.85,,47.4,,,95.7,58.29
Assam,2019,2019,,,99.96,,6.240580519118057,84.75,7.9,47.5,8.933046902971714,0.5868832520122935,,,,,
Assam,2018,2018,8.16,93.0,99.96,10.46,,,,,,,,,,,
Bihar,2018,2018,5.81,68.0,100.0,7.19,,,,,,,,,,,
Bihar,2019,2019,,,100.0,,8.813165537270088,81.91,7.0,38.2,6.99859263884876,0.5426106654366318,,,,,
Bihar,2023-24,2024,9.07,,,7.15,,,4.3,50.9,6.28,,47.4,,,95.5,56.0
Bihar,2020-21,2021,7.628638842015101,,,6.841954140858935,,2.78,10.6,,6.372697813692112,,23.7,100.0,56.22,,
Chandigarh,2023-24,2024,10.02,,,60.34,,,4.1,54.0,38.3,,38.7,,,,46.29
Chandigarh,2019,2019,,,100.0,,10.31867113424111,11.54,9.0,51.5,23.37278106508876,0.4390498361433756,,,,,
Chandigarh,2020-21,2021,6.108154962639952,,,61.76961602671118,,0.0,7.8,,39.39899833055092,,47.7,100.0,46.42,,
Chandigarh,2018,2018,5.34,27.5,100.0,45.23,,,,,,,,,,,
Chhattisgarh,2023-24,2024,6.05,,,15.21,,,2.7,75.6,10.28,,68.9,,,94.7,56.09
Chhattisgarh,2019,2019,,,99.98,,3.934918420573785,97.31,3.3,64.5,10.85803898140542,0.5455957467808352,,,,,
Chhattisgarh,2018,2018,3.62,18.5,99.98,11.33,,,,,,,,,,,
Chhattisgarh,2020-21,2021,5.364694938367235,,,12.50128262133598,,28.71,2.6,,10.05917159763314,,50.7,99.98,55.65,,
Dadra and Nagar Haveli,2019,2019,,,100.0,,,21.88,0.4,66.6,15.58441558441558,0.4196421464139462,,,,,
Dadra and Nagar Haveli,2018,2018,,46.0,100.0,34.9,,,,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,,,33.56047700170358,,3.37,1.5,,10.88631984585742,,22.4,100.0,38.99,,
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,6.11,,,22.12,,,2.6,68.4,8.12,,22.1,,,,48.24
Daman and Diu,2019,2019,,,100.0,,,28.69,3.1,65.2,13.36898395721925,0.3068177324316843,,,,,
Daman and Diu,2018,2018,,18.0,100.0,39.42,,,,,,,,,,,
Daman and Diu,2020-21,2021,,,,20.84257206208426,,7.74,0.0,,10.88631984585742,,39.1,100.0,30.83,,
Delhi,2019,2019,,,100.0,,6.239307597419668,31.69,9.4,47.1,17.1257123122086,0.4748100572184725,,,,,
Delhi,2020-21,2021,5.631509770890957,,,41.1043850583198,,19.17,10.7,,19.26275899404498,,59.9,100.0,47.07,,
Delhi,2018,2018,8.47,54.5,100.0,40.5,,,,,,,,,,,
Delhi,2023-24,2024,,,,35.52,,,2.0,50.4,18.17,,59.5,,,93.7,37.07
Goa,2018,2018,10.89,120.5,100.0,65.42,,,,,,,,,,,
Goa,2023-24,2024,8.89,,,67.15,,,10.0,58.5,43.31,,23.8,,,97.2,44.15
Goa,2019,2019,,,100.0,,9.863635772188465,57.34,13.9,49.8,34.71894189891356,0.4506194623344215,,,,,
Goa,2020-21,2021,13.79348692024065,,,63.55441081777205,,3.33,9.4,,45.78235672891179,,23.8,100.0,44.19,,
Gujarat,2020-21,2021,7.688970629584259,,,17.53046797068135,,20.19,3.4,,12.98521056512122,,50.8,100.0,50.25,,
Gujarat,2018,2018,9.68,10.0,100.0,17.2,,,,,,,,,,,
Gujarat,2023-24,2024,7.29,,,20.23,,,1.8,67.0,12.84,,61.5,,,94.6,51.12
Gujarat,2019,2019,,,100.0,,9.756933600444848,97.99,4.8,49.8,14.60603165307978,0.4797202804332708,,,,,
Haryana,2020-21,2021,5.98698510947653,,,23.61962140143087,,13.24,9.8,,18.38565022421525,,56.1,100.0,49.76,,
Haryana,2023-24,2024,6.55,,,24.06,,,6.4,52.8,17.98,,53.4,,,96.1,49.86
Haryana,2018,2018,7.47,66.0,100.0,23.04,,,,,,,,,,,
Haryana,2019,2019,,,100.0,,6.380868192154825,98.06,8.4,45.5,18.36820229820824,0.4747034012816178,,,,,
Himachal Pradesh,2019,2019,,,100.0,,5.426813301911495,87.9,5.5,62.4,23.08857969417275,0.4699262768390756,,,,,
Himachal Pradesh,2018,2018,8.87,132.0,100.0,24.47,,,,,,,,,,,
Himachal Pradesh,2020-21,2021,6.412381166579515,,,25.52295571855474,,28.49,5.8,,23.43113284433578,,39.1,100.0,51.96,,
Himachal Pradesh,2023-24,2024,6.22,,,30.93,,,5.0,81.3,23.89,,32.8,,,97.4,52.24
India,2023-24,2024,5.88,,,18.39,,,3.4,61.6,11.75,,53.9,,,95.7,55.63
India,2019,2019,,,99.98910983,,5.657715450193535,67.23,6.0,49.8,12.48052254068518,0.5312690899731451,,,,,
India,2020-21,2021,5.1,,,17.30809869822031,,71.0,6.2,,11.69385049853034,,51.9,99.98910983,55.34,,
India,2018,2018,6.5,63.5,99.99,16.84,,,,,,,,,,,
Jammu and Kashmir,2019,2019,,,99.71,,5.002789354510551,32.76,5.4,53.9,14.62441314553991,0.4905296187125606,,,,,
Jammu and Kashmir,2020-21,2021,4.495837052395791,,,19.41529235382309,,5.0,5.6,,13.73313343328336,,44.4,99.71,54.26,,
Jammu and Kashmir,2023-24,2024,8.02,,,21.23,,,4.8,67.6,14.1,,45.8,,,96.8,56.26
Jammu and Kashmir,2018,2018,14.45,154.0,99.71,18.0,,,,,,,,,,,
Jharkhand,2019,2019,,,100.0,,11.10064309998771,98.05,7.5,45.1,10.51107862527589,0.53767980872328,,,,,
Jharkhand,2018,2018,4.17,96.0,100.0,10.17,,,,,,,,,,,
Jharkhand,2023-24,2024,6.14,,,10.21,,,1.8,65.7,8.56,,59.8,,,95.5,56.25
Jharkhand,2020-21,2021,5.303092999262716,,,9.547422274695002,,29.54,5.5,,8.589794044339499,,60.5,100.0,55.74,,
Karnataka,2023-24,2024,7.43,,,28.29,,,2.6,62.9,16.65,,39.2,,,94.5,56.56
Karnataka,2018,2018,6.35,16.5,99.97,26.22,,,,,,,,,,,
Karnataka,2020-21,2021,6.593059061319869,,,26.73243503368624,,7.82,3.9,,16.68521414821944,,38.5,99.97,55.57,,
Karnataka,2019,2019,,,99.97,,8.900655188176138,96.42,4.8,51.6,19.66966966966967,0.5486712594961085,,,,,
Kerala,2023-24,2024,6.25,,,34.03,,,8.4,60.3,19.85,,55.5,,,96.1,58.4
Kerala,2018,2018,6.52,170.5,100.0,26.05,,,,,,,,,,,
Kerala,2020-21,2021,6.925249588440034,,,27.98574983035513,,1.11,10.4,,19.59681067631757,,54.4,100.0,58.83,,
Kerala,2019,2019,,,100.0,,5.499164448845701,44.82,11.4,46.5,18.95091195055324,0.5697074728647877,,,,,
Ladakh,2020-21,2021,4.495837052395791,,,51.68918918918919,,5.0,5.6,,24.66216216216216,,44.4,99.71,57.87,,
Ladakh,2023-24,2024,,,,55.3,,,6.7,65.6,30.56,,22.8,,,,54.0
Lakshadweep,2018,2018,,153.5,100.0,21.03,,,,,,,,,,,
Lakshadweep,2023-24,2024,,,,43.48,,,11.6,46.4,31.88,,16.2,,,,52.48
Lakshadweep,2020-21,2021,,,,97.05882352941175,,13.33,32.0,,20.58823529411765,,14.0,100.0,52.65,,
Lakshadweep,2019,2019,,,100.0,,,0.0,21.3,43.7,16.66666666666667,0.5437262357414449,,,,,
Madhya Pradesh,2019,2019,,,100.0,,4.551856233451637,97.3,4.3,56.7,10.03070245742962,0.5103311103112402,,,,,
Madhya Pradesh,2023-24,2024,5.34,,,13.13,,,1.7,67.8,9.0,,59.5,,,95.6,55.57
Madhya Pradesh,2018,2018,4.43,59.5,100.0,12.83,,,,,,,,,,,
Madhya Pradesh,2020-21,2021,4.295953716111978,,,12.54372873261298,,43.44,3.7,,8.924840308041311,,61.5,100.0,53.08,,
Maharashtra,2019,2019,,,100.0,,6.209979006614045,92.88,4.8,53.1,11.30576066148674,0.4944236446282793,,,,,
Maharashtra,2020-21,2021,4.997392602800589,,,22.30424657977295,,17.5,5.4,,11.3918626087519,,43.3,100.0,54.08,,
Maharashtra,2023-24,2024,,,,22.62,,,3.4,64.2,11.47,,48.0,,,94.4,55.72
Maharashtra,2018,2018,6.94,21.0,100.0,22.73,,,,,,,,,,,
Manipur,2019,2019,,,99.76,,2.040253653156879,0.27,11.5,48.1,8.23045267489712,0.5518030680713724,,,,,
Manipur,2020-21,2021,0.7358964078363367,,,11.42584341183959,,0.0,10.1,,7.001909611712286,,15.9,99.76,55.87,,
Manipur,2018,2018,3.52,58.0,99.76,9.93,,,,,,,,,,,
Manipur,2023-24,2024,,,,11.99,,,5.0,55.7,7.64,,31.6,,,94.9,57.46
Meghalaya,2020-21,2021,7.063500531360529,,,12.5,,0.0,2.8,,11.73406862745098,,42.5,100.0,58.38,,
Meghalaya,2018,2018,6.14,56.0,100.0,12.02,,,,,,,,,,,
Meghalaya,2019,2019,,,100.0,,6.990234104446599,0.0,1.6,63.2,13.07692307692308,0.5969516300458589,,,,,
Meghalaya,2023-24,2024,2.88,,,13.79,,,6.2,71.7,11.53,,43.4,,,90.0,58.32
Mizoram,2019,2019,,,99.92,,6.588016833351835,3.66,10.1,51.6,19.25182481751825,0.1972477523979433,,,,,
Mizoram,2018,2018,8.15,30.0,99.92,13.11,,,,,,,,,,,
Mizoram,2020-21,2021,0.9719314921539706,,,14.49875724937863,,2.99,7.3,,17.72990886495443,,11.4,99.92,51.19,,
Mizoram,2023-24,2024,,,,13.92,,,2.3,61.9,18.61,,11.0,,,95.7,52.62
Nagaland,2018,2018,1.64,85.0,99.92,12.85,,,,,,,,,,,
Nagaland,2023-24,2024,8.58,,,15.09,,,4.6,74.4,8.89,,11.9,,,91.7,55.18
Nagaland,2019,2019,,,99.92,,2.103512527140855,14.16,21.4,41.8,7.742461287693561,0.5340966563107239,,,,,
Nagaland,2020-21,2021,5.92966539077895,,,14.33164905833716,,0.0,18.5,,8.865411116214975,,17.1,99.92,54.75,,
Odisha,2018,2018,7.3,76.0,99.85,15.22,,,,,,,,,,,
Odisha,2019,2019,,,99.85,,5.471014492753623,92.08,7.1,48.3,11.9746835443038,0.5295552574600672,,,,,
Odisha,2023-24,2024,8.51,,,18.8,,,4.3,66.6,12.38,,51.6,,,96.9,56.21
Odisha,2020-21,2021,5.493507353745882,,,15.7197844495766,,0.0,7.6,,11.91685912240185,,54.3,99.85,55.48,,
Puducherry,2019,2019,,,100.0,,7.275040298365941,15.65,10.3,42.2,14.5610278372591,0.5638108733139947,,,,,
Puducherry,2023-24,2024,3.87,,,38.27,,,6.1,58.2,17.07,,34.1,,,,56.68
Puducherry,2020-21,2021,5.831706381008017,,,39.83214977404777,,2.22,8.7,,17.88250484183344,,37.1,100.0,57.07,,
Puducherry,2018,2018,8.35,65.5,100.0,42.2,,,,,,,,,,,
Punjab,2019,2019,,,100.0,,4.710528304738871,54.36,7.7,46.5,22.97442078478639,0.4901358657219703,,,,,
Punjab,2023-24,2024,4.6,,,26.96,,,6.7,57.9,22.0,,67.2,,,95.5,53.47
Punjab,2020-21,2021,4.607965913788219,,,24.39444646939925,,7.61,8.0,,22.93979257099307,,70.3,100.0,52.32,,
Punjab,2018,2018,4.0,120.5,100.0,24.44,,,,,,,,,,,
Rajasthan,2020-21,2021,5.450137530254205,,,14.16250047704461,,25.92,6.2,,10.2112989606788,,65.2,99.99,59.85,,
Rajasthan,2023-24,2024,6.46,,,14.31,,,4.9,64.8,10.55,,62.2,,,97.6,57.71
Rajasthan,2018,2018,5.46,90.5,99.99,12.4,,,,,,,,,,,
Rajasthan,2019,2019,,,99.99,,4.751252180764252,95.7,5.0,50.7,10.27588753494751,0.5762689510595196,,,,,
Sikkim,2018,2018,7.14,240.5,100.0,27.35,,,,,,,,,,,
Sikkim,2023-24,2024,5.44,,,35.4,,,2.4,78.1,25.47,,55.2,,,91.8,52.81
Sikkim,2019,2019,,,100.0,,5.997926261725061,0.14,3.5,60.9,24.13793103448276,0.520453834622146,,,,,
Sikkim,2020-21,2021,4.971977485211661,,,28.72023809523809,,0.0,3.3,,24.55357142857143,,36.2,100.0,50.93,,
Tamil Nadu,2018,2018,4.96,47.0,100.0,32.47,,,,,,,,,,,
Tamil Nadu,2023-24,2024,7.87,,,39.05,,,4.8,62.3,16.68,,48.5,,,96.6,58.59
Tamil Nadu,2019,2019,,,100.0,,6.549786617014615,90.68,7.5,55.1,17.7200614124872,0.5768438887521791,,,,,
Tamil Nadu,2020-21,2021,7.446790439791541,,,35.47336773143225,,13.61,7.2,,16.06601284020639,,45.5,100.0,58.53,,
Target,2018,2018,10.0,14.83,100.0,50.95,,,,,,,,,,,
Target,2023-24,2024,7.0,,,28.9,,,2.9,66.9,21.27,,0.0,,,100.0,50.0
Target,2019,2019,,,100.0,,7.5,100.0,0.0,100.0,28.1,0.5,,,,,
Target,2020-21,2021,7.0,,,42.65,,50.0,3.0,,31.26,,0.0,100.0,50.0,,
Telangana,2023-24,2024,6.52,,,28.27,,,4.6,66.5,15.9,,38.9,,,96.9,58.04
Telangana,2018,2018,7.58,31.0,100.0,22.37,,,,,,,,,,,
Telangana,2020-21,2021,8.448036725258682,,,28.93488917306053,,48.6,8.8,,15.07885763000852,,62.2,100.0,57.45,,
Telangana,2019,2019,,,100.0,,8.893787838904975,98.28,7.6,53.9,25.46680689324329,0.5550537236653964,,,,,
Tripura,2023-24,2024,7.8,,,15.97,,,1.5,60.4,15.04,,51.2,,,96.6,55.92
Tripura,2018,2018,10.58,288.0,100.0,11.0,,,,,,,,,,,
Tripura,2019,2019,,,100.0,,13.33707899292374,22.45,6.8,45.1,14.54637607704004,0.5545180380824994,,,,,
Tripura,2020-21,2021,8.838586356755133,,,14.64621474517566,,0.0,10.5,,14.59673428995547,,33.2,100.0,50.99,,
Uttar Pradesh,2019,2019,,,100.0,,5.433080970101373,92.89,6.2,44.6,9.016795820330303,0.5244230110655103,,,,,
Uttar Pradesh,2018,2018,6.55,133.0,100.0,9.19,,,,,,,,,,,
Uttar Pradesh,2020-21,2021,3.744620776641665,,,9.610756079342684,,50.09,6.2,,8.066185881335425,,59.4,100.0,54.74,,
Uttar Pradesh,2023-24,2024,8.9,,,10.15,,,2.6,56.9,7.99,,65.3,,,96.6,53.64
Uttarakhand,2019,2019,,,100.0,,6.448953617864425,94.24,7.6,43.9,20.35422343324251,0.5111643595245943,,,,,
Uttarakhand,2018,2018,6.33,86.5,100.0,23.92,,,,,,,,,,,
Uttarakhand,2020-21,2021,5.456049478909888,,,24.63537523203394,,19.72,9.5,,20.01237514364006,,40.3,100.0,53.06,,
Uttarakhand,2023-24,2024,6.57,,,25.93,,,4.9,60.1,19.54,,46.0,,,96.9,52.09
West Bengal,2023-24,2024,5.62,,,13.36,,,2.3,61.8,10.07,,61.3,,,95.0,57.42
West Bengal,2020-21,2021,5.356528045215286,,,12.62804572294027,,22.85,4.1,,9.745290066414924,,59.2,100.0,55.17,,
West Bengal,2019,2019,,,100.0,,8.048764393414496,94.59,4.6,50.1,9.768970013037809,0.5221874328433369,,,,,
West Bengal,2018,2018,,69.5,100.0,11.34,,,,,,,,,,,
